"Restaurant_ID","TotalRating","DinnerRating","LunchRating","ReviewNum","Rating_Category"
"281","4.266666666666667","3.53","3.0","83","4~5 星餐廳"
"282","4.233333333333333","3.33","3.15","5","4~5 星餐廳"
"283","3.466666666666667","3.02","","13","3~3.9 星餐廳"
"284","3.6","3.06","3.04","6","3~3.9 星餐廳"
"285","4.1","3.51","3.24","33","4~5 星餐廳"
"286","3.433333333333333","3.31","","10","3~3.9 星餐廳"
"287","4.266666666666667","3.18","3.52","47","4~5 星餐廳"
"288","3.566666666666667","3.07","3.21","27","3~3.9 星餐廳"
"289","3.6666666666666665","3.0","","5","3~3.9 星餐廳"
"290","3.2333333333333334","3.06","","10","3~3.9 星餐廳"
"291","3.6","3.06","3.05","2","3~3.9 星餐廳"
"292","3.7","3.0","3.08","50","3~3.9 星餐廳"
"293","4.366666666666666","3.51","3.06","21","4~5 星餐廳"
"294","3.2666666666666666","3.06","","2","3~3.9 星餐廳"
"295","3.8","3.29","3.0","17","3~3.9 星餐廳"
"296","3.6666666666666665","3.08","3.08","31","3~3.9 星餐廳"
"297","3.533333333333333","3.06","","3","3~3.9 星餐廳"
"298","4.066666666666666","3.51","3.07","20","4~5 星餐廳"
"299","4.366666666666666","3.49","3.45","27","4~5 星餐廳"
"300","3.566666666666667","3.06","3.05","2","3~3.9 星餐廳"
"301","4.366666666666666","3.56","3.5","16","4~5 星餐廳"
"302","3.7","3.04","","3","3~3.9 星餐廳"
"303","3.333333333333333","3.04","","2","3~3.9 星餐廳"
"304","3.8333333333333335","3.6","3.52","76","3~3.9 星餐廳"
"305","4.266666666666667","3.53","","10","4~5 星餐廳"
"306","3.3","3.31","","23","3~3.9 星餐廳"
"307","3.633333333333333","3.0","","23","3~3.9 星餐廳"
"308","4.333333333333333","3.45","3.2","68","4~5 星餐廳"
"309","4.166666666666667","3.52","3.05","60","4~5 星餐廳"
"310","3.5","3.0","","5","3~3.9 星餐廳"
"311","3.5","3.07","","9","3~3.9 星餐廳"
"312","3.466666666666667","3.31","","5","3~3.9 星餐廳"
"313","3.6","3.04","","4","3~3.9 星餐廳"
"314","3.433333333333333","3.27","3.1","40","3~3.9 星餐廳"
"315","3.4","3.05","","3","3~3.9 星餐廳"
"316","3.333333333333333","3.14","3.12","14","3~3.9 星餐廳"
"317","3.8","3.0","3.02","25","3~3.9 星餐廳"
"318","3.433333333333333","3.26","","46","3~3.9 星餐廳"
"319","3.633333333333333","3.03","","14","3~3.9 星餐廳"
"320","3.566666666666667","3.04","","2","3~3.9 星餐廳"
"321","4.0","3.13","3.53","76","4~5 星餐廳"
"322","3.2666666666666666","3.0","3.03","5","3~3.9 星餐廳"
"323","4.133333333333334","3.72","3.71","56","4~5 星餐廳"
"324","3.5","3.04","3.01","15","3~3.9 星餐廳"
"325","3.7666666666666666","3.12","","23","3~3.9 星餐廳"
"326","3.533333333333333","3.04","","15","3~3.9 星餐廳"
"327","3.4","3.06","","5","3~3.9 星餐廳"
"328","3.466666666666667","3.06","3.06","12","3~3.9 星餐廳"
"329","3.533333333333333","3.03","3.04","6","3~3.9 星餐廳"
"330","3.5","3.05","","12","3~3.9 星餐廳"
"331","3.5","3.06","","4","3~3.9 星餐廳"
"332","3.6666666666666665","3.15","","11","3~3.9 星餐廳"
"333","3.6","3.04","","12","3~3.9 星餐廳"
"334","4.166666666666667","3.23","3.24","16","4~5 星餐廳"
"335","3.5","3.03","3.02","11","3~3.9 星餐廳"
"336","3.6666666666666665","3.27","","5","3~3.9 星餐廳"
"337","3.7","3.0","3.0","8","3~3.9 星餐廳"
"338","3.6666666666666665","3.06","","4","3~3.9 星餐廳"
