ID,Place_ID,Name,Rating,UserRatingsTotal,Type,PriceLevel,Lat,Lng,Address
63,ChIJj-9V6PgHAWARobrWGXEGn58,Daitoku-ji Temple,4.3,2827,Place Of Worship,,35.043891,135.74603,"53 Murasakino Daitokujicho, Kita Ward, Kyoto, 603-8231, Japan"
64,ChIJuYNCQdwIAWARfPnq0Ktzk2A,Chionin Temple,4.5,7554,Place Of Worship,,35.0051988,135.7833827,"400 Rinkacho, Higashiyama Ward, Kyoto, 605-8686, Japan"
65,ChIJaZTeEpsHAWARJvRwipDlRQo,Myōshin-ji Temple,4.4,2595,Place Of Worship,,35.02301360000001,135.7198195,"1 Hanazonomyoshinjicho, Ukyo Ward, Kyoto, 616-8035, Japan"
66,ChIJOep9dT2qAWARHP2_vqhY5Tg,Adashino Nenbutsuji Temple,4.3,1964,Place Of Worship,,35.0267946,135.6645532,"Japan, 〒616-8436 Kyoto, Ukyo Ward, Sagatoriimoto Adashinocho, １７−17番地"
67,ChIJ2fScokwwVTURue_s87ovULA,Manpuku-ji,4.4,1952,Place Of Worship,,34.9137675,135.8058509,"Japan, 〒611-0011 Kyoto, Uji, Gokasho, Sanbanwari−３４"
68,ChIJqewQoHkIAWAR6RokWp3Iesc,Yasaka-jinja Shrine,4.4,31067,Place Of Worship,,35.0036559,135.7785534,"625 Gionmachi Kitagawa, Higashiyama Ward, Kyoto, 605-0073, Japan"
69,ChIJf438RkAIAWARzM3lfzI7uAM,Shimogamo Shrine,4.5,14173,Place Of Worship,,35.0389778,135.7730068,"Japan, 〒606-0807 Kyoto, Sakyo Ward, Shimogamo Izumikawacho, ５９"
70,ChIJN1kOxgoPAWAREMf_r8q5apk,Fujinomori Shrine,4.2,2559,Place Of Worship,,34.9513617,135.7717092,"609 Fukakusa Toriizakicho, Fushimi Ward, Kyoto, 612-0864, Japan"
71,ChIJ2XYZP5QIAWARMTCC19cXwjA,Nishiki Tenmangu Shrine,4.3,4284,Place Of Worship,,35.0050475,135.7672983,"537 Nakanocho, Nakagyo Ward, Kyoto, 604-8042, Japan"
72,ChIJq-zt_RoGAWARQuNSJj3VAdM,Rokusonnō Shrine,4.1,730,Place Of Worship,,34.9846128,135.7450338,"509 Hachijocho, Minami Ward, Kyoto, 601-8471, Japan"
73,ChIJAQDkzpUIAWARkEnmWNWIDp4,Yasaka-jinja Shrine Otabisho,4.1,166,Place Of Worship,,35.0035982,135.7671114,"Teianmaenocho, Shimogyo Ward, Kyoto, 600-8031, Japan"
