Restaurant_ID,Name,JapaneseName,Station,FirstCategory,SecondCategory,TotalRating,Lat,Long,DinnerPrice,LunchPrice,Price_Category
42,Tsukihikarasuma  ,月陽 KARASUMA,Shijo,Izakaya (Tavern),Creative cuisine,3.566666666666667,35.0014042831755,135.757332172929,￥4000～￥4999,￥1000～￥1999,中價位
43,Kyoutotempuraendou  ,京都 天ぷら圓堂 岡崎邸,Higashiyama,Tempura,Kaiseki (Traditional Japanese),4.233333333333333,35.016166715603,135.78025014546,￥10000～￥14999,￥5000～￥5999,高價位
44,Resutoraniro  ,restaurant IRO,Karasuma,Izakaya (Tavern),Creative cuisine,3.9,35.0029150541461,135.763259341262,￥4000～￥4999,,中價位
45,Shuteimichiya  ,酒亭 道や,Karasuma Oike,Izakaya (Tavern),Seafood,3.433333333333333,35.0133219216821,135.758725397401,￥5000～￥5999, ～￥999,中價位
46,Trattoria La Pace  ,トラットリア ラパーチェ,Karasuma,Italian,Pizza,4.033333333333333,35.0052600869409,135.763347606931,￥4000～￥4999,￥1000～￥1999,中價位
47,Izakayabambu  ,居酒屋 バンブー 京都駅前,Kyoto,Izakaya (Tavern),Kappo (Traditional Japanese),3.5,34.98456517764,135.753134407968,￥3000～￥3999,,中價位
48,Peppa  ,ペッパー,Kawaramachi,Okinawan Cuisine,Izakaya (Tavern),3.4,35.0051163351892,135.770318423513,￥3000～￥3999,,中價位
49,Banikuryourisemmontenumayarou  ,馬肉料理専門店　馬野郎,Kawaramachi,Yakiniku (BBQ Beef),Shabu Shabu (Japanese Steamboat),4.233333333333333,35.0047958114895,135.770292758504,￥3000～￥3999,,中價位
50,Teppanryourihanaroku  ,鉄板料理 花六,Gojo,Teppanyaki,Kyoto Cuisine,4.233333333333333,34.9934590606226,135.759549576809,￥10000～￥14999,,頂級
51,Kyoutohanabi  ,京都ハナビ,Karasuma,Izakaya (Tavern),Japanese food (other),3.6,35.0026723205949,135.762557509078,￥2000～￥2999,,中價位
52,Kyoutohananomai  ,京都 花の舞,Kyoto,Izakaya (Tavern),Seafood,3.533333333333333,34.9867909098527,135.760974487706,￥3000～￥3999, ～￥999,中價位
53,pontochoutanrakuyatoriume  ,先斗町 炭楽屋とりうめ,Sanjo,Yakitori (Grilled chicken),Izakaya (Tavern),3.566666666666667,35.0076732995129,135.771211287189,￥4000～￥4999,,中價位
54,Osakanadekoboko  ,御肴 凸鉾,Kyoto,Izakaya (Tavern),Seafood,4.166666666666667,34.9897025458045,135.761142673015,￥3000～￥3999,,中價位
55,Sunny  ,Sunny,Sanjo,Dining bar,Steak,4.133333333333334,35.0088126166557,135.770899871707,￥3000～￥3999,￥1000～￥1999,中價位
56,Gochiya  ,ご馳家,Kyoto,Izakaya (Tavern),Creative cuisine,3.3,34.9884404609588,135.761279108682,￥3000～￥3999, ～￥999,中價位
57,Shusaijoujou  ,酒菜 乗々,Kyoto,Creative cuisine,Izakaya (Tavern),3.433333333333333,34.9883648466884,135.755297868851,￥5000～￥5999,,高價位
58,o-rudeidainingukaza  ,オールデイダイニング カザ,Kyoto,Buffet style,Cafe,4.333333333333333,34.9861608292917,135.752504109069,￥4000～￥4999,￥2000～￥2999,中價位
59,Yakinikudainingukinoe  ,焼肉ダイニング 甲,Kyoto Shiyakusho Mae,Yakiniku (BBQ Beef),Korean cuisine,4.166666666666667,35.0122604635406,135.764163605741,￥5000～￥5999,,高價位
60,Manjirou  ,萬治郎,Gion Shijo,Kaiseki (Traditional Japanese),Kyoto Cuisine,4.466666666666667,35.0017457541648,135.780026105812,￥10000～￥14999,￥3000～￥3999,高價位
61,Sakayaagurema  ,酒彩 あぐれま,Sanjo,Izakaya (Tavern),Sukiyaki,3.333333333333333,35.0094078177675,135.770155461682,￥4000～￥4999,,中價位
62,chuugokuryourichimmin  ,中国料理 青冥 祇園店,Gion Shijo,Chinese,Dim sum,4.133333333333334,35.0041359664734,135.775011689987,￥5000～￥5999,￥1000～￥1999,中價位
63,Hanasaki  ,花咲 錦店,Karasuma,Kyoto Cuisine,Kaiseki (Traditional Japanese),4.133333333333334,35.0043996209478,135.763205991643,￥10000～￥14999,￥4000～￥4999,高價位
64,nikushokusakabagaru  ,肉食酒場 garu,Gion Shijo,Bar,Sumibiyaki,3.4,35.0048216518419,135.77073951322,￥4000～￥4999, ～￥999,中價位
65,furenchidainingutoppuobukyouto  ,フレンチダイニング トップ オブ キョウト,Kyoto,French,Restaurants (other),3.4,34.9861624957947,135.752504942257,￥10000～￥14999,￥5000～￥5999,高價位
66,takaradoukarasuma  ,宝堂 KARASUMA,Shijo,Izakaya (Tavern),Sukiyaki,3.6,35.0025347092754,135.756842994842,￥3000～￥3999,,中價位
67,Ikedayahananomai  ,池田屋　はなの舞,Kyoto Shiyakusho Mae,Izakaya (Tavern),Kyoto Cuisine,3.7,35.0088103660205,135.769259452492,￥3000～￥3999,,中價位
68,Kyoutogiontempurayasakaendou  ,京都祇園 天ぷら八坂圓堂,Gion Shijo,Tempura,Kaiseki (Traditional Japanese),4.2,34.9989145822574,135.77511164431,￥10000～￥14999,￥5000～￥5999,高價位
69,Ryoumashamonoujou  ,龍馬 軍鶏農場 京都駅前店,Kyoto,Izakaya (Tavern),Yakitori (Grilled chicken),3.633333333333333,34.9880182697134,135.7604672511,￥3000～￥3999,,中價位
70,Komefuku  ,米福 四条烏丸,Karasuma,Tempura,Ten-don (Tempura Bowl),4.3,35.0046062331496,135.761353080459,￥3000～￥3999,,中價位
70,Komefuku  ,米福 四条烏丸,Karasuma,Tempura,Ten-don (Tempura Bowl),4.3,35.0046062331496,135.761353080459,￥2000～￥2999, ～￥999,平價
71,Gionkyouryourihanasaki  ,祇園 京料理 花咲,Gion Shijo,Kyoto Cuisine,Kaiseki (Traditional Japanese),3.9,35.001987605201,135.776159471356,￥10000～￥14999,￥4000～￥4999,高價位
72,Izakayashinoomiya  ,はなまる串カツ製作所 大宮店,Shijo Omiya,Izakaya (Tavern),Kushi-age (Fried Skewer),3.333333333333333,35.0047962545949,135.747841693829,￥2000～￥2999,,中價位
73,Ittetsugurache  ,Ittetsu Grazie,Karasuma,Yakiniku (BBQ Beef),Bar,3.8333333333333335,35.0047036962275,135.762538484634,￥3000～￥3999, ～￥999,中價位
74,Ichishun  ,一瞬,Kyoto,Izakaya (Tavern),Japanese food (other),4.2,34.9877799444932,135.7594723447,￥4000～￥4999, ～￥999,中價位
75,Nikokubaru  ,ニューコクバル 京都山科店,Keihan Yamashina,Izakaya (Tavern),Kushi-age (Fried Skewer),3.5,34.9906070184028,135.816001130938,￥2000～￥2999,,中價位
76,Teppansakuwan  ,鉄板 さくわん,Saiin,Teppanyaki,Izakaya (Tavern),3.566666666666667,35.0029211577045,135.730812638868,￥3000～￥3999,,中價位
77,RIGOLETTO SMOKE GRILL & BAR  ,RIGOLETTO SMOKE GRILL & BAR,Gion Shijo,Italian,Spain,4.266666666666667,35.0023853402133,135.776146676328,￥4000～￥4999,￥1000～￥1999,中價位
78,Kugurinaberoppakuya  ,くぐり鍋 六白屋,Karasuma,Izakaya (Tavern),Japanese food (other),3.433333333333333,35.0043845208436,135.757382587083,￥4000～￥4999,,中價位
79,Kyouryouritategami  ,京料理 立神,Marutamachi,Kyoto Cuisine,Kaiseki (Traditional Japanese),4.1,35.0176544080438,135.752669034239,￥6000～￥7999,￥2000～￥2999,中價位
80,Pontochourobin  ,先斗町 魯ビン,Sanjo,Kyoto Cuisine,Kaiseki (Traditional Japanese),4.0,35.007637467664,135.771076855559,￥6000～￥7999,,高價位
81,BELLOTA concha  ,ベジョータコンチャ 富小路店,Kawaramachi,Spain,Italian,3.7666666666666666,35.0028287148498,135.764830752759,￥3000～￥3999,￥1000～￥1999,中價位
82,Bejitejiya  ,ベジテジや 四条木屋町店,Gion Shijo,Yakiniku (BBQ Beef),Korean cuisine,3.4,35.0035395378738,135.77026258034,￥3000～￥3999,,中價位
82,Bejitejiya  ,ベジテジや 四条木屋町店,Gion Shijo,Yakiniku (BBQ Beef),Korean cuisine,3.4,35.0035395378738,135.77026258034,￥3000～￥3999,,中價位
83,Matsuzakagyuuwattsuzakicchin  ,松阪牛 WHAT'S THE KITCHEN,Gion Shijo,Steak,Sushi,3.7,35.006283478163,135.772928430793,￥10000～￥14999,,頂級
84,Sushidokoroima  ,寿し処 今,Katsura,Sushi,Seafood,4.2,34.979850486332,135.710131252004,￥6000～￥7999,,高價位
85,Maribuagaru  ,まりぶあがる,Karasuma,Izakaya (Tavern),Japanese food (other),3.8333333333333335,35.0026827391119,135.761237630186,￥3000～￥3999,,中價位
86,Italian bar Lugol  ,イタリアンバール ルゴール,Karasuma Oike,Italian,Pasta,3.333333333333333,35.0111876696183,135.756670110802,￥2000～￥2999, ～￥999,平價
87,Takishokudou  ,ターキー食堂,Shijo,Dining bar,Izakaya (Tavern),3.6666666666666665,35.0026330051004,135.755297563109,￥3000～￥3999,,中價位
88,Bar Pleasure  ,バー プレジャー,Kawaramachi,Bar,Wine bar,3.633333333333333,35.0061886218041,135.764668287831,￥2000～￥2999,,中價位
89,Sou  ,宗,Shijo,Izakaya (Tavern),Creative cuisine,4.266666666666667,35.0048177708664,135.755266076244,￥4000～￥4999,,中價位
90,Kaisenizakayamatsurishungyotokyouyasaitoosakenoomise  ,海鮮居酒屋 祭ーMATSURIー 〜旬魚と京野菜とお酒のお店〜,Kawaramachi,Izakaya (Tavern),Seafood,3.7666666666666666,35.0040092787709,135.770300805123,￥3000～￥3999,,中價位
91,Momojirou  ,ももじろう 師団街道龍大前店,Fukakusa,Izakaya (Tavern),Chanko Nabe (Sumo Wrestlers Hot Pot),3.4,34.9628166529074,135.768027505772,￥3000～￥3999,,中價位
91,Momojirou  ,ももじろう 師団街道龍大前店,Fukakusa,Izakaya (Tavern),Chanko Nabe (Sumo Wrestlers Hot Pot),3.4,34.9628166529074,135.768027505772,￥3000～￥3999,,中價位
91,Momojirou  ,ももじろう 師団街道龍大前店,Fukakusa,Izakaya (Tavern),Chanko Nabe (Sumo Wrestlers Hot Pot),3.4,34.9628166529074,135.768027505772,￥2000～￥2999,,中價位
92,Yakinikusakayaisshin  ,焼肉酒屋いっ心,Rokujizo,Yakiniku (BBQ Beef),Izakaya (Tavern),3.466666666666667,34.9322720261464,135.793188766907,￥6000～￥7999,,高價位
93,Kyouhonoka  ,京ほのか 三条木屋町店,Sanjo,Izakaya (Tavern),Creative cuisine,3.7,35.0090850753986,135.770206305652,￥3000～￥3999,,中價位
94,Ampan  ,内房,Karasuma Oike,Korean cuisine,Yakiniku (BBQ Beef),3.466666666666667,35.0085107284906,135.756370536711,￥3000～￥3999,￥1000～￥1999,中價位
95,rino  ,Lino,Karasuma Oike,Italian,Pasta,3.6666666666666665,35.0131424729159,135.757379128582,￥6000～￥7999,￥1000～￥1999,中價位
96,REAL NETA DINING ICHIZ  ,イチズ,Tambaguchi,Italian,Izakaya (Tavern),3.466666666666667,34.9929450895897,135.735796850912,￥4000～￥4999, ～￥999,中價位
97,nikubaruginjirou  ,肉バル銀次郎 先斗町店,Gion Shijo,Bar,Steak,3.6,35.0042653266744,135.770980907676,￥3000～￥3999,,中價位
97,nikubaruginjirou  ,肉バル銀次郎 先斗町店,Gion Shijo,Bar,Steak,3.6,35.0042653266744,135.770980907676,￥3000～￥3999,,中價位
97,nikubaruginjirou  ,肉バル銀次郎 先斗町店,Gion Shijo,Bar,Steak,3.6,35.0042653266744,135.770980907676,￥3000～￥3999, ～￥999,中價位
97,nikubaruginjirou  ,肉バル銀次郎 先斗町店,Gion Shijo,Bar,Steak,3.6,35.0042653266744,135.770980907676,￥3000～￥3999, ～￥999,中價位
98,Kushikatsutanaka  ,串カツ田中 西院店,Saiin,Kushi-age (Fried Skewer),Izakaya (Tavern),3.466666666666667,35.0037849596386,135.73112396213,￥2000～￥2999,,中價位
