HotelName,Address,Rating,UserRatingsTotal,Types,Lat,Lng,Place_ID
京の宿 千鶴別邸,京都市東山区清閑寺霊山町5−２１,3.2,9,"lodging, point_of_interest, establishment",34.9978539,135.7836477,ChIJ_zt2cKkJAWARW-j2B7AlGAg
ゲストハウス田中家,京都市東山区宮川筋５丁目３５２−８ Ｇｕｅｓｔｈｏｕｓｅ ＴＡＮＡＫＡ－ｙａ,4.6,55,"lodging, point_of_interest, establishment",34.99895999999999,135.7711,ChIJy9S-VccIAWAR5TW8h_zlu0k
ギオン福住,京都市東山区林下町４３７,4.1,244,"lodging, point_of_interest, establishment",35.0053683,135.7774357,ChIJZzuAQsIIAWARho7ZUxRAQ3Q
新道あやめ庵,京都市東山区宮川筋８丁目４１４−１,4.6,11,"lodging, point_of_interest, establishment",34.9965239,135.7692294,ChIJPRCR-rgIAWARB9iFf8Jiq2s
宿や 萬治郎,京都市東山区清水２丁目２０８−１７,4.9,43,"lodging, point_of_interest, establishment",34.9968902,135.7805597,ChIJ7Zap1c8IAWARm43h9nJPH5E
鶴清,京都市下京区下材木町４５１ 五条上ル,4,274,"meal_takeaway, lodging, store, restaurant, food, point_of_interest, establishment",34.9967572,135.7678434,ChIJj5YcPLkIAWARl0_Gb8J-CFM
旅館 田舎亭,京都市東山区祇園下河原石塀小路 ４６３,4.6,45,"lodging, point_of_interest, establishment",35.0004187,135.7791611,ChIJB1aZxO0HAWAR7F_g0Jc-z9g
プチメゾン五条,京都市東山区田中町５０４−１７ プチメゾン五条,4.5,2,"lodging, point_of_interest, establishment",34.99632709999999,135.7696394,ChIJAQDB9bgIAWARxvuKpBhUiWE
町家 つき草庵,京都市東山区西御門町４４０−８,4.7,10,"lodging, point_of_interest, establishment",34.9984072,135.7708796,ChIJT_3WrrgIAWARZToZOy7Muhk
清水びろうど庵,京都市東山区下河原町４７８−４,4.9,9,"lodging, point_of_interest, establishment",35.0001523,135.7790811,ChIJn5oFeFkJAWARC0zNAHuVAnQ
京料理 田鶴,京都市下京区美濃屋町１７９−３,4,196,"lodging, restaurant, food, point_of_interest, establishment",34.9994804,135.7686907,ChIJ4_9jHr8IAWARf7e-qRSbhfM
Stay SAKURA Kyoto 清水五条,京都市東山区小島町５８３−２,4.6,96,"lodging, point_of_interest, establishment",34.9963926,135.7764951,ChIJH70eR88IAWARikeOwO1y5sM
ホテルささりんどう,京都市東山区祇園町南側南側５７０−１０２ Hotel ささりんどう,4,353,"lodging, point_of_interest, establishment",35.0031958,135.7737686,ChIJ-9_C9sMIAWAR9-17NnduubU
石塀小路 龍吟-RYUGIN-,京都市東山区下河原町４６３−１２ 石塀小路龍吟,4.6,16,"lodging, point_of_interest, establishment",35.0008718,135.7793516,ChIJ2WW14MQIAWARVJ7U9qn9ybE
町屋 もみじ,京都市東山区門脇町１８２−３ 大和大路通五条上ル,5,2,"lodging, point_of_interest, establishment",34.9959547,135.7730388,ChIJi2x10ccIAWARL3LJ7M2wkYs
アパホテル〈京都祇園〉EXCELLENT,京都市東山区祇園町南側555番地,3.8,1840,"lodging, point_of_interest, establishment",35.00366930000001,135.7761843,ChIJ5dqk08MIAWARA-piDT7IzR4
ホテル長楽館,京都市東山区円山町６０４ 八坂鳥居前東入,4.5,923,"cafe, lodging, restaurant, food, point_of_interest, establishment",35.003086,135.7802522,ChIJx2qHp8QIAWAR3Q0obr41IPI
Miro美盧 松原高瀬川邸,京都市下京区材木町423番地2,4.1,8,"lodging, point_of_interest, establishment",34.99880499999999,135.7683535,ChIJH4mTspQIAWARSrDmgtfMmss
Rinn Hostel Miyagawacho（Rinnホステル 宮川町）,京都市東山区宮川筋３丁目２９１−５,4.3,15,"lodging, point_of_interest, establishment",35.0004284,135.7708615,ChIJtTmRY78IAWAREHt2Q93LFh0
ホテル と、いうわけで。,京都市東山区宮川筋２５９,3.4,39,"lodging, point_of_interest, establishment",35.0012734,135.7712987,ChIJbWU7gcAIAWARTA12cIs4yIM
ホテルリバージュ,京都市東山区毘沙門町四丁目 東大路松原上る 4丁目４４−５０ ＨＯＴＥＬ ＲＩＶＡＧＥ 東大路松原上 東大路松原上る,3.2,13,"lodging, point_of_interest, establishment",35.000071,135.776357,ChIJ57vJJMQIAWART3Yxk0xCP-k
京町家一棟貸し梅ノ戸庵 三条御陵,京都市山科区御陵大津畑町５３−７,3.8,5,"lodging, point_of_interest, establishment",34.98997159999999,135.8123055,ChIJN7na674OAWARCier0y70fcw
HINA ( Kyoto Misasagi stationTraditional Entire House) 京都 山科御陵駅すぐ 宿 旅館 民泊 ひな）,京都市山科区御陵鴨戸町５１−１,4.6,11,"lodging, point_of_interest, establishment",34.9955937,135.8024575,ChIJLbmRgs4OAWARdoSccgv7bmg
インサイトコート山科,京都市山科区御陵天徳町２１−１,4.1,8,"lodging, point_of_interest, establishment",34.9919091,135.8121542,ChIJZ0p_oqQPAWAR81eqjrGJ0jk
金--別館,京都市山科区御陵大津畑町３８−１,,,"lodging, point_of_interest, establishment",34.9909675,135.8135726,ChIJrTsRPX4PAWARnweboXYh0pw
谷町君山科家,京都市山科区御陵原西町１０−９,5,6,"lodging, point_of_interest, establishment",34.9955977,135.8032492,ChIJc4Py1yUPAWARxz-Ppskb_V4
COCORO ( Kyoto Misasagi stationTraditional Entire House) 京都 山科御陵駅すぐ 宿 旅館 民泊 こころ）,京都市山科区御陵鴨戸町５１−１,4.8,9,"lodging, point_of_interest, establishment",34.9956305,135.8024046,ChIJ_c9IBmcPAWAR9IVL79qx1XQ
シェアハウス七鈴,京都市山科区上野御所ノ内町9−１５,,,"lodging, point_of_interest, establishment",34.9915962,135.815768,ChIJ91TdSIQPAWAR_HIqRc3CbdI
Guest House Kyoto-Yamashina,京都市山科区竹鼻竹ノ街道町６５ ６５－１－２,5,4,"lodging, point_of_interest, establishment",34.990717,135.8158598,ChIJCVVb6uYPAWARdClInorwtg0
COCORO HOTEL KYOTO,京都市山科区御陵鴨戸町５５,4.5,23,"lodging, point_of_interest, establishment",34.9959471,135.8016961,ChIJlTM2WvwPAWAR9NAz-00Q9vE
(株)ケン・ホテルマネジメント京都,京都市山科区安朱桟敷町２３−２３ 23番地,,,"lodging, point_of_interest, establishment",34.99140559999999,135.8167402,ChIJPzziUjEPAWARlGr_PdbmKiY
京都山科 ホテル山楽,京都市山科区安朱桟敷町２３−２３ 23番地,4.3,458,"spa, lodging, health, restaurant, food, point_of_interest, establishment",34.99140559999999,135.8167402,ChIJfUA5pV0PAWAROhaM8NZ2bqE
