"Hotel_ID","HotelName","Address","Rating","UserRatingsTotal","Lat","Long","Place_ID"
"68","京都新阪急ホテル","京都市下京区東塩小路町５７９","4.0","2818.0","34.9874218","135.7577113","ChIJWQ4wP68IAWARIes_wzazmKA"
"69","ホテル晴輝 京都ステーション","京都市南区東九条北烏丸町２４−５","3.9","172.0","34.98133079999999","135.7599441","ChIJO2n1Oq0IAWAR7JhfzddeZOQ"
"70","イビススタイルズ 京都ステーション","京都市南区東九条上殿田町４７","4.1","1787.0","34.9837462","135.7584549","ChIJg2i1O6wIAWARE4Xv-As-A0Q"
"71","ホテル エルシエント京都八条口","京都市南区東九条東山王町１３","4.2","2988.0","34.9837751","135.7613828","ChIJ2TkpW6wIAWARHE6lEPbg7Jw"
"72","ゲストハウス懐古的未来","京都市南区東九条中札辻町３３−３","4.0","11.0","34.977113","135.7620299","ChIJazKbCE4PAWARtkmKNOi06Lw"
"73","松本旅館","京都市下京区東塩小路町５７９ ホーム1","3.9","147.0","34.9873844","135.7581696","ChIJ6R-2Fa8IAWARio-TDnVf22k"
"74","Tabist スパークリングドルフィンズイン 京都","京都市南区東九条上御霊町５６ スパークリングドルフィンズイン京都","3.8","87.0","34.9797945","135.7627787","ChIJ1UJCZk0PAWARb5zfFn7L5uU"
"75","民泊みすずハウス","京都市南区東九条松田町６１−１５","4.0","1.0","34.9747338","135.7546483","ChIJt7JCNFQPAWARZXkUDJB9i8s"
"76","アルモントホテル京都","京都市南区東九条西岩本町２６−１","4.4","1801.0","34.9833003","135.7639236","ChIJ2XKv2LIIAWARcN_URhWO2n8"
"77","はる家 梅小路 ｜ HARUYA Umekoji","京都市下京区和気町1番地12","4.0","387.0","34.9886614","135.7488138","ChIJ9wB1IhwGAWARSRX9M7FFzrw"
"78","アパホテル〈京都駅堀川通〉","京都市下京区 油小路通塩小路西油小路町1番地","3.7","2754.0","34.986512","135.7536717","ChIJC9zDdagIAWARtJV4CjMuX98"
"79","アパホテル〈京都駅前〉","京都市下京区南不動堂町８０６ 西洞院通塩小路下ル","3.8","1843.0","34.9864192","135.7549834","ChIJ6V8-jagIAWARm9dUeM6cWM8"
"80","京都第一ホテル","京都市南区東九条下殿田町45","3.8","801.0","34.9796556","135.7569847","ChIJmxZjqawIAWARyFrmvcWcbwo"
"81","ダイワロイネットホテル京都八条口","京都市南区東九条北烏丸町９−２","4.2","1279.0","34.981626","135.760024","ChIJ-aRTPK0IAWARkDLcRbtDIsI"
"82","ワシントンR＆Bホテル京都駅八条口","京都市南区東九条上殿田町４１−１","3.7","842.0","34.9830287","135.759511","ChIJLyhFrK0IAWARF8iIiOqZFV4"
"83","ゲストハウス 和／Guest House WA／便捷青旅 和","京都市下京区西八百屋町１５４ 七条通猪熊東入西八百屋町152 猪熊東入","3.8","69.0","34.9890608","135.7514864","ChIJv4Vc7R0GAWARVNvP6-ma-68"
"84","Hotel JIDAI","京都市下京区油小路町２９５","4.6","48.0","34.98864630000001","135.7536937","ChIJs-lHsKcIAWARJMgPzXvFzGs"
"85","ホテルグランヴィア京都","京都市下京区JR京都駅 中央口 烏丸通塩小路下ル","4.3","4610.0","34.98585850000001","135.7589822","ChIJaVi89K4IAWAR4vsxLc_WnbM"
"86","ホテルエクセレンス・京都駅西","京都市南区西九条寺ノ前町８","3.4","454.0","34.98492589999999","135.7533699","ChIJ1UcSOKgIAWARCDzRaJErEiU"
"87","ランドーレジデンス京都クラシック","京都市南区東九条上御霊町５８−１","4.3","223.0","34.98004299999999","135.762525","ChIJjb3Ic00PAWARmWlayC8EjNE"
"88","Inarian TOBA","京都市東山区福稲下高松町４２−５","","","34.9736884","135.7676408","ChIJ___WQkYPAWAR10WpkbO-ZBM"
"89","Zen Kyoto Apartment Hotel","京都市伏見区竹田段川原町２３９","4.5","172.0","34.95809749999999","135.75738","ChIJX_ZdrmYPAWARyo4VjU8ySqQ"
"90","都シティ 近鉄京都駅","京都市下京区東塩小路釜殿町１−９","4.2","1993.0","34.9848169","135.7575091","ChIJI9DHta4IAWARDmbkNQVFOlI"
"91","SAKURA TERRACE","京都市南区東九条烏丸町１−１","4.2","2068.0","34.97975900000001","135.759492","ChIJJVGF2VIPAWARq3tLCzPqHdE"
"92","Stay SAKURA Kyoto 祭","京都市下京区伊勢松町１１５","4.4","69.0","34.98751710000001","135.7514368","ChIJAQBAcR0GAWARFH5fAmwYi1U"
"93","相鉄フレッサイン 京都駅八条口","京都市南区東九条西山王町１１番地","4.4","1077.0","34.9828676","135.7610043","ChIJ19SvEq0IAWARLD6V_uVxg_8"
"94","京都タワーホテルアネックス","京都市下京区東塩小路町５９５−１","4.0","1084.0","34.9880935","135.7565816","ChIJw3b2AaYIAWAR7RoLRIxjKQw"
"95","MIMARU京都 STATION","京都市南区東九条東山王町１５−１","4.8","409.0","34.98431109999999","135.7617109","ChIJSa6Rd7IIAWAR0VNhyWD2uMw"
"96","PREMIUM TOJI","京都市南区西九条比永城町119番地","4.5","70.0","34.97914319999999","135.7490514","ChIJq9L6lY0HAWARGjeyPKnaUEs"
"97","Nagomi-an Hachijyoutei","京都市南区東九条北烏丸町８−９ 和庵八条亭","4.8","9.0","34.9813823","135.7593955","ChIJn8EUIa0IAWARGBIFIiY8KCI"
"98","メルキュール 京都ステーション","京都市下京区油小路町２８８","4.4","1379.0","34.9884343","135.7535903","ChIJVbimhTQJAWARtXpd8c69fzs"
"99","カモンイン 相深 1","京都市伏見区深草相深町９−６","4.2","5.0","34.9725655","135.7691649","ChIJH09NI0cPAWARRQZzeDfn3xQ"
"100","Shiki Suites京都梅小路","京都市下京区上夷町１５７","4.4","104.0","34.9862796","135.750935","ChIJpwFSz70HAWARSY7S7KuN4mY"
"101","Moco hostel","京都市南区西九条御幸田町２４番地３","4.4","16.0","34.97554799999999","135.74957","ChIJkYRWLP4FAWAR5UEO8ANVn08"
"102","Riusu流苏","京都市南区西九条東柳ノ内町５８−７","4.5","14.0","34.97600860000001","135.7530758","ChIJW1CxbVUPAWARjtS7TkB6YNg"
"103","COTO京都 東寺２","京都市南区西九条南田町４４−６","4.4","17.0","34.97874479999999","135.7487559","ChIJQcZcFAEGAWAR1_SE0qGA_fk"
"104","ザ ネクスト ドア ロウワー イースト ナイン ホステル","京都市南区西九条東比永城町６５","4.1","72.0","34.9791577","135.7500613","ChIJKWvZpQEGAWARSoxng4iSaKE"
"105","KYOSTAYいろは 東寺別館","京都市南区東寺東門前町１１","4.6","83.0","34.98027450000001","135.7494938","ChIJJ2ppfgEGAWAReAjJDvgFDdI"
"106","京町家 宿《京ノ夢》","京都市南区東九条石田町４６−４６","4.0","10.0","34.97367959999999","135.7605827","ChIJExWWOVAPAWAR04e4FFPfoyg"
"107","HOTEL SHE, KYOTO","京都市南区東九条南烏丸町１６","4.4","453.0","34.97718030000001","135.7594799","ChIJ26SOU1IPAWAR7WmdJChc-d0"
"108","九条ステイズ","京都市南区東九条中殿田町８","4.8","14.0","34.98085870000001","135.7556782","ChIJ-_HEoasIAWAREMxcnjOJ0eM"
"109","京と家 おたびしょ庵","京都市南区西九条池ノ内町９９−９","5.0","2.0","34.9827916","135.7530281","ChIJqQgP7KkIAWARR6a7yOGAyio"
"110","季楽庵kirakuan","京都市南区南区東九条中殿田町１９−２","4.3","3.0","34.9807447","135.7574197","ChIJ5Qpwl6wIAWARBOKJ5i5_rTk"
"111","いっぱく","京都市伏見区深草勧進橋町１０９−１","4.7","6.0","34.9679265","135.7620159","ChIJ00kdUUMPAWAR7Zt-UJVkWp0"
"112","LoveKyoto京緣館","京都市南区東九条西札辻町２３−１８","4.7","31.0","34.97690009999999","135.7613605","ChIJ1zpg_1EPAWARJj7cfbC3-y4"
"113","京のお宿 AZU","京都市南区東九条中殿田町１６−３","4.2","9.0","34.9812535","135.7577124","ChIJb2thhawIAWARV-2wddUYx38"
"114","9410 京都 宿","京都市南区東九条中殿田町１２−７","3.0","3.0","34.9817203","135.7575308","ChIJhYdDiKwIAWARKdgLej1ebdw"
"115","ホテルエクセレンス・京都駅八条口","Hotel Excellence, 1F, ５-5 西九条鳥居口町, 南区 京都市","3.7","494.0","34.9835121","135.7540529","ChIJTfUBmakIAWARdYJWiU0KxHE"
"116","サクラテラス ザ・アトリエ","京都市南区東九条北烏丸町１−1","4.1","743.0","34.9808777","135.759003","ChIJC_e_YqsIAWARpWnAJYYPsWA"
"117","22PIECES","京都市南区東九条室町９−４","4.8","341.0","34.9824","135.7568831","ChIJd-N9iqsIAWARy2p2iJQYwCo"
"118","アーバンホテル京都","京都市伏見区深草西浦町４丁目59番地","3.7","1328.0","34.96140860000001","135.7680355","ChIJy4JUypYPAWARDIOifc3TjwM"
"119","布袋庵","京都市東山区本町２２２−９","5.0","4.0","34.98168649999999","135.7701349","ChIJY6K3FkoPAWARef3aIo5Pr5U"
"120","ホテル飯田","京都市下京区東塩小路町７１７−３","3.6","92.0","34.9876282","135.7605555","ChIJYY7VNK4IAWARxqX4DDC26Bo"
"121","京都センチュリーホテル","京都市下京区東塩小路町６８０ 京都センチュリーホテル","4.3","2356.0","34.9860815","135.7617614","ChIJjV_hBK4IAWARTMFgI50VdXc"
"122","ゲストハウス東山","京都市東山区今熊野南日吉町３０−２２","4.2","27.0","34.98449579999999","135.7784147","ChIJS8AVgTEPAWAR2tFzgBfnZ6M"
"123","ホテル佐野家(RYOKAN SANOYA)","京都市下京区東塩小路町５３９","3.8","298.0","34.9876819","135.7609628","ChIJT-pGNaQIAWAR9qxA4ilQENM"
"124","京都ホワイトホテル","京都市下京区東塩小路町５５６","3.2","88.0","34.987798","135.7619437","ChIJT1DYLq4IAWAR9kzDgGbf_Kg"
"125","ドーミーインPREMIUM京都駅前","京都市下京区東塩小路町５５８−８","4.3","1747.0","34.9874424","135.7619008","ChIJVSsR2bEIAWARZsSeuqhAc4E"
"126","ハイアットリージェンシー京都","京都市東山区三十三間堂廻り６４４−２","4.3","2137.0","34.9886172","135.7735468","ChIJ_yycHcsIAWARO8pU_wZq320"
"127","西喜楼","京都市下京区東塩小路町７１１−７ 不明門通七条下る","4.4","48.0","34.9881081","135.7605193","ChIJebXuPKQIAWARsG0f6b7XdJs"
"128","OHTO Ryokan","京都市東山区鴨川東一筋目南入ル","3.1","224.0","34.9887938","135.7687439","ChIJ_1p1s7UIAWARlLUZRcgR7FA"
"129","村の家","京都市東山区福稲柿本町２０−７０","5.0","2.0","34.9785152","135.7688393","ChIJ6f5UqEkPAWARuvMgMFiMFqY"
"130","編暇","京都市東山区今熊野総山町１−１２","4.3","19.0","34.9838408","135.7825025","ChIJ1wHfri8PAWARxMU0lysiOyM"
"131","ホテル法華クラブ 京都","京都市下京区東塩小路町５７９−１６ ホテル法華クラブ京都 １階","4.1","1340.0","34.9875186","135.7587572","ChIJB5VdDq8IAWARlVx3RYLAJhM"
"132","宿彩 アートステイイン東福寺","京都市東山区福稲柿本町２４−１ 水明荘","4.3","16.0","34.97902649999999","135.7687214","ChIJFYV8oEkPAWARKzczMG4ZDdg"
"133","Walker House Kyoto","京都市東山区泉涌寺東林町14−７","4.0","6.0","34.9813216","135.7763527","ChIJTxnY2TAPAWARg8t4fRkaNYs"
"134","町家 月輪こはく庵","京都市東山区泉涌寺雀ケ森町３−８","4.4","20.0","34.9823283","135.7732888","ChIJWea7fzYPAWAR3Ct8V7VAPZA"
"135","ゲストハウス東山 じゃお","京都市東山区今熊野南日吉町１４８−７５","4.9","11.0","34.9844726","135.7801029","ChIJvT947jEPAWARM6HdqZy-gps"
"136","熊野ハウス","京都市東山区今熊野日吉町１１９−４","3.4","5.0","34.985765","135.7780796","ChIJcWNIojQPAWARQRvLR7Z4r-Q"
"137","JQ Villa Kyoto Maiko Han-inn","京都市東山区泉涌寺五葉ノ辻町２０−２","3.7","3.0","34.982302","135.771642","ChIJecoi7jUPAWARIlSqPYNwpjQ"
"138","Kyoto Higashiyama Honmachi apartment","京都市東山区本町１３６ ８","4.8","5.0","34.98498000000001","135.7700789","ChIJPXXrtkoPAWARYiR77cJbnCQ"
"139","アパホテル〈京都駅前中央口〉","京都市下京区塩小路町533番地 東洞院通七条下ル","3.7","1283.0","34.9879264","135.76094","ChIJQ1mvza8IAWARU4XlCI0M10o"
"140","旅館からたち","京都市伏見区深草一ノ坪町２０−６","3.7","7.0","34.9688919","135.769509","ChIJjd67REAPAWARowG2PwpbTQ0"
"141","花 伏見稲荷店","京都市伏見区深草一ノ坪町20−７ ドミール稲荷","4.2","12.0","34.9687336","135.7697623","ChIJVVW5QUAPAWARySejO--Pox8"
"142","レジデンス イン ニコン","京都市伏見区深草西浦町３丁目１４−３","3.4","9.0","34.9616403","135.7655711","ChIJFaKCRWkPAWARFB8i-2mgsN4"
"143","下町ブルース","京都市南区東九条宇賀辺町５４−７","5.0","2.0","34.9776752","135.7649078","ChIJIUiiXegOAWAR4nYI2Q0EaFk"
"144","Goodsleep-ya ぐっすり家 伏見稲荷","京都市伏見区深草一ノ坪町３７ 17 West","4.0","2.0","34.9689786","135.7689337","ChIJxV5dUUAPAWARkSYJoXh7OyI"
"145","nini hostel 伏見稲荷","京都市伏見区深草一ノ坪町３８−１５","5.0","43.0","34.9685944","135.7685666","ChIJlTNmrUEPAWARs-dOf19hNKU"
"146","稲荷凰庵","京都市伏見区深草稲荷鳥居前町２２−３","4.1","16.0","34.9665609","135.7687321","ChIJI2t7h2oPAWARshiAWMTX7bE"
"147","渡庵-Watarian-","京都市南区東九条南松ノ木町３５−１","5.0","1.0","34.977248","135.7649469","ChIJn5G6604PAWARV_v9ZZDT3Do"
"148","ホテルファインオリーブ京都山科店","京都市山科区上花山坂尻１０７−１６","2.9","15.0","34.9821718","135.7958618","ChIJ75JAONwOAWARfVnP871rXeI"
"149","Theatre and Library Residence -Kyoto Imagumano-","京都市東山区東山区今熊野南日吉町１４８−５９","3.5","2.0","34.984769","135.780405","ChIJkQGG4TEPAWARRxRqMMcQvVY"
"150","東福寺サムライ町家(Tofukuji samurai Machiya)","京都市東山区泉涌寺五葉ノ辻町","4.7","11.0","34.9825845","135.7724507","ChIJTcwXwzUPAWARjcW5xc-bLmo"
"151","京都東山くるみ","京都市東山区泉涌寺五葉ノ辻町４−５","4.5","11.0","34.982059","135.771171","ChIJmzau9zUPAWAR2h-rt6liAHE"
"152","清明舎","京都市伏見区稲荷山官有地１７−１","4.1","14.0","34.96974699999999","135.7852646","ChIJfX6k_hsPAWARYPUiQ0iPniw"
"153","NISHIKIEN YAMASHINA VILLA","京都市山科区西野山桜ノ馬場町９０","","","34.96868930000001","135.7972224","ChIJKzOq7VoPAWAR3xMAjJTjYZ4"
"154","ハイツ村田","西野山百々町, KyōtoKyoto, 山科区","","","34.9761449","135.7969742","ChIJMxbbGgAPAWARDAaq8z3rzI4"
"155","サンカ株式会社","京都市東山区今熊野南谷町１７−１","","","34.97561700000001","135.7785242","ChIJZRJ3eioPAWAR9073aiiaEVQ"
"156","京都逸苑itsu-en民宿","京都市東山区今熊野南谷町１８−９","","","34.97604880000001","135.778318","ChIJgXzrewAPAWARJksSwlMhylU"
"157","民泊 稲荷山","京都市伏見区深草坊山町３５−７","4.9","9.0","34.9637728","135.7805912","ChIJQU9wet8PAWARYZiUn5qXEng"
"158","Kyoto Share House 『田舎〜INAKA〜』","京都市山科区山科区川田菱尾田１７−１３１","5.0","8.0","34.9774869","135.7988431","ChIJIYIfPeYOAWARWsTgO50sB1U"
"159","パルコ","京都市山科区上花山坂尻１０７−１４","3.3","20.0","34.9819168","135.7957006","ChIJwQ5VNtwOAWARJhMTabZe-Bo"
"160","京町家ステイ 和華 伏見稲荷邸","京都市伏見区深草開土町５１","4.1","8.0","34.9686293","135.7724846","ChIJa7OB4D8PAWARRbQ9ceOnjj0"
